Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,3534,3986,4531,4906,5006,6103,5222,5490,3558,3351,3350,2515
2013,2772,3172,4111,4250,5168,4268,5286,4006,3664,3476,3756,2803
2014,3030,3930,4170,4724,5987,4714,5809,5178,3678,3798,3601,3140
2015,3716,3199,3342,3618,3285,4323,4700,4601,3978,4001,4002,4162
2016,2678,2493,3665,6368,6169,6165,4964,4044,3942,3572,3809,3480
2017,2507,3260,5459,5013,5189,4966,3818,2684,3875,3176,3703,3283
2018,3444,2577,2992,5940,3277,2403,1560,2740,2533,1783,1343,1661
2019,1947,2889,3370,2586,2407,2744,2484,2848,1541,1986,1689,1491
Total,23628,25506,31640,37405,36488,35686,33843,31591,26769,25143,25253,22535
