Year,Q1,Q2,Q3,Q4
2012,12051,16015,14270,9216
2013,10055,13686,12956,10035
2014,11130,15425,14665,10539
2015,10257,11226,13279,12165
2016,8836,18702,12950,10861
2017,11226,15168,10377,10162
2018,9013,11620,6833,4787
2019,8206,7737,6873,5166
2020,8408,3900,6067,4508
2021,3396,2347,-,-
Total,92578,115826,98270,77439
