Year,Q1,Q2,Q3,Q4
2008,-,82,814,735
2009,659,1054,472,475
2010,752,1270,760,315
2011,510,1086,516,238
2012,488,527,331,139
2013,392,636,367,119
2014,387,506,438,292
2015,545,1380,454,290
2016,525,1508,733,394
2017,978,1291,625,528
2018,404,1160,402,308
2019,651,712,596,382
2020,283,343,475,267
2021,417,634,275,237
Total,6991,12189,7258,4719
