Year,Q1,Q2,Q3,Q4
2008,668,4504,3285,3360
2009,3079,3470,3445,5396
2010,5025,5499,6736,6525
2011,7616,8453,7217,5735
2012,6465,8131,8425,5867
2013,6548,7552,8192,5453
2014,5512,7020,6984,5199
2015,4724,7135,7297,6490
2016,3499,4481,4637,4124
2017,4513,3321,2506,3405
2018,1387,2057,1569,764
2019,760,897,646,401
2020,102,115,117,86
2021,58,22,14,-
Total,49956,62657,61070,52805
