Year,Sales
2021,5764
2020,5668
2019,9620
2018,6951
2017,6505
2016,6175
2015,3659
2014,2977
2013,2045
2012,2398
2011,2549
2010,6
2009,97
2008,1115
2007,1634
2006,3836
2005,4310
Total,65309
