Year,Sales
2021,1924
2020,1659
2019,4615
2018,4918
2017,4862
2016,3747
2015,4518
2014,3704
2013,4588
2012,4058
2011,4137
2010,4662
2009,4861
2008,6675
2007,7858
2006,7440
2005,2919
Total,77145
