Year,Q1,Q2,Q3,Q4
2005,-,600,1093,1226
2006,1365,1540,2480,2055
2007,1560,3553,1236,1509
2008,1537,3245,858,1035
2009,1491,646,1482,1242
2010,1264,1738,1164,496
2011,623,1512,1362,640
2012,1522,1075,866,595
2013,1185,1510,1276,617
2014,1763,819,571,551
2015,1391,1961,525,641
2016,1064,1335,633,715
2017,911,2832,355,764
2018,1278,2164,916,560
2019,1941,1014,1076,584
2020,499,132,192,836
2021,633,662,231,398
Total,20027,26338,16316,14464
